year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_share,market_size_x,market_size_y
2019,国产新能源乘用车,上海市,祺智,祺智EV,纯电动,2080.0,132.0,21.0,0.0,2.2007255139056833e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,福特,蒙迪欧,插电式汽油混合动力,2233.0,93.65,200.0,0.0,2.0959290608625553e-05,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,福特,领界,纯电动,2135.0,120.0,3.0,0.0,3.1438935912938333e-07,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,红旗,红旗E-HS3,纯电动,2270.0,114.0,4.0,0.0,4.191858121725111e-07,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,红旗,红旗H7,插电式汽油混合动力,2460.0,95.71428571428571,14.0,0.0,1.4671503426037888e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,腾势,腾势,纯电动,2480.0,135.0,2.0,0.0,2.0959290608625555e-07,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,荣威,荣威Ei5,纯电动,1975.767568619817,85.24605801051197,5137.0,0.0,0.0005383393792825474,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,荣威,荣威RX5 eMAX,插电式汽油混合动力,2311.0,90.0,57.0,0.0,5.9733978234582835e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,荣威,荣威e950,插电式汽油混合动力,2135.0,62.97872340425532,658.0,0.0,6.895606610237807e-05,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,蔚来,蔚来ES6,纯电动,2803.6893203883496,69.47141316073355,1854.0,0.0,0.0001942926239419589,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,蔚来,蔚来ES8,纯电动,3099.0,24.91411501120239,1339.0,0.0,0.0001403224506247481,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,起亚,起亚K3,插电式汽油混合动力,1980.0,44.5,8.0,0.0,8.383716243450222e-07,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,起亚,起亚K5,插电式汽油混合动力,2200.0,50.604651162790695,215.0,0.0,2.253123740427247e-05,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,长安,奔奔,纯电动,1615.0,55.0,32.0,0.0,3.353486497380089e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,长安,逸动,插电式汽油混合动力,1975.0,80.0,6.0,0.0,6.287787182587667e-07,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,长安,逸动,纯电动,2025.0,100.0,13.0,0.0,1.362353889560661e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,长安,长安CS75,插电式汽油混合动力,2445.0,22.934782608695652,46.0,0.0,4.8206368399838774e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,领克,领克01,插电式汽油混合动力,2206.630565583634,71.69675090252707,831.0,0.0,8.708585247883918e-05,9542307.692307692,954.2307692307692
