year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_size,market_share,province_id,brand_id,model_id,product_id,market_id,charging_stations_stock,sum_rival_mass,sum_rival_power,euclidean_mass,euclidean_power,local_mass,local_power
2019,国产新能源乘用车,上海市,奇瑞,艾瑞泽5e,纯电动,1920.0,95.3125,32,0.0,9542307.692307692,3.353486497380089e-06,P01,B09,M01,B09M01,P01Y2019,55113,874781.2283513402,47858.406474254,4.9989984e+07,835090.7,347,371
2019,国产新能源乘用车,上海市,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,242,54.235,9542307.692307692,2.536074163643692e-05,P01,B10,M01,B10M01,P01Y2019,55113,874224.2283513402,47813.718974254,1.534107e+08,1.1865745e+06,115,377
2019,国产新能源乘用车,上海市,奥迪,奥迪Q2L,纯电动,2090.0,100.0,2,24.57999999999999,9542307.692307692,2.095929060862556e-07,P01,B10,M02,B10M02,P01Y2019,55113,874611.2283513402,47853.718974254,5.2541268e+07,789272.1,301,382
2019,国产新能源乘用车,上海市,宝马,宝马5系,插电式汽油混合动力,2495.0,71.56626506024097,2573,49.95,9542307.692307692,0.0002696412736799678,P01,B11,M01,B11M01,P01Y2019,55113,874206.2283513402,47882.15270919376,1.613172e+08,1.364962e+06,106,332
2019,国产新能源乘用车,上海市,宝马,宝马X1,插电式汽油混合动力,2340.0,76.81274900398407,1004,31.94,9542307.692307692,0.0001052156388553003,P01,B11,M02,B11M02,P01Y2019,55113,874361.2283513402,47876.906225250015,1.0259815e+08,1.2050894e+06,206,347
2019,国产新能源乘用车,上海市,宝骏,宝骏E100,纯电动,980.0,29.0,2,5.230000000000001,9542307.692307692,2.095929060862556e-07,P01,B12,M01,B12M01,P01Y2019,55113,875721.2283513402,47924.718974254,4.9602227e+08,3.5595815e+06,3,162
2019,国产新能源乘用车,上海市,小鹏,小鹏G3,纯电动,2036.859205776173,145.0,1108,18.54,9542307.692307692,0.0001161144699717856,P01,B13,M01,B13M01,P01Y2019,55113,874664.369145564,47808.718974254,4.9005148e+07,1.3354625e+06,323,364
2019,国产新能源乘用车,上海市,日产,轩逸,纯电动,1940.0,80.0,187,13.735,9542307.692307692,1.959693671906489e-05,P01,B14,M01,B14M01,P01Y2019,55113,874761.2283513402,47873.718974254,4.8967136e+07,1.1198209e+06,350,358
2019,国产新能源乘用车,上海市,标致,标致4008,插电式汽油混合动力,2303.0,0.0,1,20.07,9542307.692307692,1.047964530431278e-07,P01,B15,M01,B15M01,P01Y2019,55113,874398.2283513402,47953.718974254,9.171421e+07,5.970016e+06,224,46
2019,国产新能源乘用车,上海市,欧拉,欧拉iQ,纯电动,1855.0,120.0,26,13.255,9542307.692307692,2.724707779121322e-06,P01,B16,M01,B16M01,P01Y2019,55113,874846.2283513402,47833.718974254,5.575077e+07,811523.4,349,396
2019,国产新能源乘用车,上海市,比亚迪,比亚迪S2,纯电动,1825.0,70.0,68,0.0,9542307.692307692,7.126158806932689e-06,P01,B17,M01,B17M01,P01Y2019,55113,874876.2283513402,47883.718974254,5.966644e+07,1.4173952e+06,343,327
2019,国产新能源乘用车,上海市,江淮,江淮iEV6E,纯电动,1695.480769230769,50.96153846153846,52,6.75,9542307.692307692,5.449415558242644e-06,P01,B18,M01,B18M01,P01Y2019,55113,875005.7475821094,47902.75743579246,8.568304e+07,2.227737e+06,289,267
