year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price
2019,国产新能源乘用车,上海市,领克,领克02,插电式汽油混合动力,2104.0,60.0,87.0,14.28
2019,国产新能源乘用车,上海市,领克,领克03,插电式汽油混合动力,2105.0,60.0,50.0,27.904999999999998
2019,国产新能源乘用车,云南省,东南,东南DX3,纯电动,2015.0,90.0,9.0,9.59
2019,国产新能源乘用车,云南省,东风风行,景逸S50,纯电动,2036.0,92.0,30.0,7.49
2019,国产新能源乘用车,云南省,东风风行,菱智,纯电动,2525.0,90.0,2.0,7.990000000000001
2019,国产新能源乘用车,云南省,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,34.0,13.48
2019,国产新能源乘用车,云南省,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,30.0,13.229999999999999
2019,国产新能源乘用车,云南省,众泰,众泰E200,纯电动,1270.0,60.0,16.0,0.0
2019,国产新能源乘用车,云南省,传祺,传祺GE3,纯电动,2080.0,132.0,3.0,0.0
2019,国产新能源乘用车,云南省,吉利,博瑞GE,插电式汽油混合动力,2165.0,81.6,40.0,15.829999999999998
2019,国产新能源乘用车,云南省,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,4.0,13.129999999999999
2019,国产新能源乘用车,云南省,吉利,帝豪,纯电动,1970.0,120.0,821.0,9.985
2019,国产新能源乘用车,云南省,吉利,帝豪GSe,纯电动,2010.0,120.64516129032258,31.0,13.49
2019,国产新能源乘用车,云南省,启辰,启辰D60,纯电动,1950.0,120.0,22.0,10.530000000000001
2019,国产新能源乘用车,云南省,大众,宝来,纯电动,1980.0,100.0,6.0,13.45
2019,国产新能源乘用车,云南省,大众,帕萨特,插电式汽油混合动力,2190.0,85.36764705882354,544.0,21.740000000000002
2019,国产新能源乘用车,云南省,大众,朗逸,纯电动,1970.0,100.0,47.0,12.295
2019,国产新能源乘用车,云南省,大众,途观L,插电式汽油混合动力,2300.0,85.87412587412588,429.0,22.974999999999994
2019,国产新能源乘用车,云南省,大众,高尔夫,纯电动,1990.0,100.0,6.0,17.98
2019,国产新能源乘用车,云南省,奇瑞,艾瑞泽5e,纯电动,1920.0,95.0,4.0,0.0
2019,国产新能源乘用车,云南省,奔腾,奔腾B30,纯电动,1838.0,90.0,348.0,0.0
2019,国产新能源乘用车,云南省,奔腾,奔腾X40,纯电动,1955.0,140.0,1.0,0.0
2019,国产新能源乘用车,云南省,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,7.0,54.235
2019,国产新能源乘用车,云南省,奥迪,奥迪Q2L,纯电动,2090.0,100.0,11.0,24.579999999999995
2019,国产新能源乘用车,云南省,宝马,宝马5系,插电式汽油混合动力,2495.0,70.0,198.0,49.95
2019,国产新能源乘用车,云南省,宝马,宝马X1,插电式汽油混合动力,2340.0,72.5,36.0,31.94
2019,国产新能源乘用车,云南省,宝骏,宝骏E100,纯电动,990.0434782608696,29.0,621.0,5.230000000000001
2019,国产新能源乘用车,云南省,小鹏,小鹏G3,纯电动,2036.078431372549,145.0,51.0,18.54
2019,国产新能源乘用车,云南省,日产,轩逸,纯电动,1940.0,80.0,11.0,13.735
2019,国产新能源乘用车,云南省,欧拉,欧拉iQ,纯电动,1855.0,120.0,85.0,13.254999999999999
2019,国产新能源乘用车,云南省,比亚迪,比亚迪S2,纯电动,1825.0,70.0,16.0,0.0
2019,国产新能源乘用车,云南省,江淮,江淮iEVA50,纯电动,2150.0,92.0,1.0,13.764999999999999
2019,国产新能源乘用车,云南省,江铃新能源,易至EX5,纯电动,1905.0,60.0,8.0,12.930000000000001
2019,国产新能源乘用车,云南省,沃尔沃,沃尔沃S90,插电式汽油混合动力,2620.0,65.0,11.0,45.63999999999999
2019,国产新能源乘用车,云南省,沃尔沃,沃尔沃XC60,插电式汽油混合动力,2660.0,241.26315789473685,19.0,42.63999999999999
2019,国产新能源乘用车,云南省,猎豹,猎豹CS9,纯电动,2013.0,90.0,55.0,0.0
2019,国产新能源乘用车,云南省,现代,伊兰特EV,纯电动,1845.0,81.4,6.0,0.0
2019,国产新能源乘用车,云南省,现代,索纳塔九,插电式汽油混合动力,2230.0,60.833333333333336,6.0,0.0
2019,国产新能源乘用车,云南省,现代,领动,插电式汽油混合动力,2000.0,44.5,1.0,0.0
2019,国产新能源乘用车,云南省,祺智,祺智EV,纯电动,2080.0,132.0,7.0,13.48
2019,国产新能源乘用车,云南省,红旗,红旗E-HS3,纯电动,2196.0,114.0,2.0,24.580000000000002
2019,国产新能源乘用车,云南省,荣威,荣威Ei5,纯电动,1971.3737373737374,86.21212121212122,198.0,14.68
2019,国产新能源乘用车,云南省,蔚来,蔚来ES6,纯电动,2813.75,42.5,64.0,44.6
2019,国产新能源乘用车,云南省,蔚来,蔚来ES8,纯电动,3099.0,18.823529411764707,51.0,57.599999999999994
2019,国产新能源乘用车,云南省,起亚,起亚K5,插电式汽油混合动力,2200.0,50.0,1.0,18.48
2019,国产新能源乘用车,云南省,野马,野马EC30,纯电动,2290.0,107.5,4.0,0.0
2019,国产新能源乘用车,云南省,长安,奔奔,纯电动,1569.0625,44.0625,16.0,0.0
